"Tabla 18. Estructura empresarial Medellín, según comunas y actividad económica (Total empresas)",,,,,,Volver al índice,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
CIIU,Descripción,ALTAVISTA,ARANJUEZ,BELEN,BUENOS AIRES,CASTILLA,DOCE DE OCTUBRE,EL POBLADO,GUAYABAL,LA AMERICA,LA CANDELARIA,LAURELES,MANRIQUE,PALMITAS,POPULAR,ROBLEDO,SAN ANTONIO DE PRADO,SAN CRISTOBAL,SAN JAVIER,SANTA CRUZ,SANTA ELENA,VILLA HERMOSA,Sin Georreferenciar,Total
2920,Fabricación de carrocerías para vehículos automotores; fabricación de remolques y semirremolques,,,,,1,,,3,,3,,,,,2,,1,1,,,,1,12
2930,"Fabricación de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",1,3,4,,5,1,6,13,3,30,4,2,,,1,1,,3,3,,1,,81
3011,Construcción de barcos y de estructuras flotantes,,,,,,,1,,,,,,,,,,,,,,,,1
3012,Construcción de embarcaciones de recreo y deporte,,,,1,,,,,,1,,,,,,,,,,,,,2
3030,"Fabricación de aeronaves, naves espaciales y de maquinaria conexa",,,,,,,,2,1,1,,,,,,,,,,,,,4
3091,Fabricación de motocicletas,,,1,,,,1,1,,3,,,,,,,,,,,,,6
3092,Fabricación de bicicletas y de sillas de ruedas para personas con discapacidad,,,1,,1,,1,1,1,2,2,1,1,,,,,,,,1,,12
3099,Fabricación de otros tipos de equipo de transporte n.c.p.,,,1,,,,1,1,,,,,,,,,,,,,,,3
3110,Fabricación de muebles,9,49,49,26,13,12,41,58,22,125,43,13,,7,18,9,8,8,5,4,12,3,534
3120,Fabricación de colchones y somieres,1,9,3,,6,3,2,1,3,11,29,2,,,2,1,1,1,1,,1,,77
3211,Fabricación de joyas y artículos conexos,2,7,12,9,3,2,34,5,4,91,18,4,,,5,3,1,3,1,3,2,,209
3212,Fabricación de bisutería y artículos conexos,4,3,7,3,4,2,13,4,2,49,12,,,,2,,3,1,,,1,,110
3220,Fabricación de instrumentos musicales,,,2,1,1,1,,1,,3,,,,,,,,,,,,,9
3230,Fabricación de artículos y equipo para la práctica del deporte,2,,4,1,,1,7,,3,4,1,1,,,1,,,,,,2,,27
3240,"Fabricación de juegos, juguetes y rompecabezas",,3,4,3,1,5,4,1,1,2,3,3,,,,,,1,,1,,,32
3250,"Fabricación de instrumentos, aparatos y materiales médicos y odontológicos (incluido mobiliario)",1,3,32,7,4,2,25,8,8,56,26,2,,4,5,3,3,4,2,,8,,203
3290,Otras industrias manufactureras n.c.p.,,8,14,9,7,14,32,38,13,60,15,4,,2,9,3,8,3,1,3,5,1,249
3311,Mantenimiento y reparación especializado de productos elaborados en metal,2,7,6,6,6,1,6,9,7,26,13,5,,1,7,2,3,7,1,,1,,116
3312,Mantenimiento y reparación especializado de maquinaria y equipo,8,17,51,23,27,22,40,75,22,119,56,10,1,2,27,16,10,14,6,2,10,2,560
3313,Mantenimiento y reparación especializado de equipo electrónico y óptico,,2,15,2,3,1,9,6,10,13,13,1,,,3,,1,4,,,2,,85
3314,Mantenimiento y reparación especializado de equipo eléctrico,2,6,11,6,5,6,5,12,5,23,13,5,,2,6,1,2,2,4,,5,2,123
3315,"Mantenimiento y reparación especializado de equipo de transporte, excepto los vehículos automotores, motocicletas y bicicletas",,1,2,,2,,9,1,1,5,2,,,,,3,,,,,,,26
3319,Mantenimiento y reparación de otros tipos de equipos y sus componentes n.c.p.,2,3,11,1,4,1,6,3,3,12,4,2,,1,5,,,1,1,,4,,64
3320,Instalación especializada de maquinaria y equipo industrial,1,1,7,2,,2,7,6,5,7,5,3,,1,1,1,,1,,,,,50
3511,Generación de energía eléctrica,,2,47,3,7,1,120,3,4,8,12,,,3,4,,,1,,,1,1,217
3512,Transmisión de energía eléctrica,,,,1,,,5,3,,,1,,,,,,,,,,1,,11
3513,Distribución de energía eléctrica,,,,,,,3,,,,,,,,,,,,,,,,3
3514,Comercialización de energía eléctrica,,,11,,,,11,3,,1,1,,,,,1,,,,,,,28
3520,Producción de gas; distribución de combustibles gaseosos por tuberías,,2,1,,,,1,,,,,,,,,,,,1,,1,,6
3530,Suministro de vapor y aire acondicionado,,,,,,1,,,,,,,,,1,1,,2,,,2,,7
3600,"Captación, tratamiento y distribución de agua",,1,2,,3,1,5,2,5,1,8,,,1,1,1,,,1,,1,,33
3700,Evacuación y tratamiento de aguas residuales,,,3,,1,1,2,2,2,1,5,,,,1,3,,,,,,,21
3811,Recolección de desechos no peligrosos,1,4,2,2,1,5,4,9,1,12,2,2,,,2,,,,1,,,1,49
3812,Recolección de desechos peligrosos,,,,,,,,,,1,1,,,,,,,,1,,,,3
3821,Tratamiento y disposición de desechos no peligrosos,1,,2,,1,,5,1,1,1,1,,,,,2,,,1,,,,16
3822,Tratamiento y disposición de desechos peligrosos,,,1,,,,3,1,,1,,,,,,,,,,,,,6
3830,Recuperación de materiales,1,31,15,7,8,9,8,20,7,54,11,9,,8,9,5,1,4,14,1,2,,224
